fitness_avg,fitness_min,fitness_max,fitness_gen,fitness_nevals,height_avg,height_min,height_max,height_gen,height_nevals,size_avg,size_min,size_max,size_gen,size_nevals,gen,nevals
[37.21627606],[21.51498925],[49.99302392],0,300,1.5433333333333332,1,2,0,300,3.63,2,7,0,300,0,300
[35.66751857],[21.05751994],[38.05062548],1,349,1.5566666666666666,1,4,1,349,3.8,2,9,1,349,1,349
[33.07914719],[21.05751994],[38.05062548],2,365,1.5,1,4,2,365,4.22,2,9,2,365,2,365
[30.72186321],[19.6057576],[38.05062548],3,384,1.53,1,4,3,384,4.66,2,10,3,384,3,384
[28.2372009],[19.16045282],[37.52477403],4,348,1.7633333333333334,1,4,4,348,5.426666666666667,2,10,4,348,4,348
[24.50831891],[15.14749756],[37.67230602],5,355,2.0866666666666664,1,4,5,355,6.6033333333333335,2,11,5,355,5,355
[21.37448231],[15.14749756],[30.80897719],6,357,2.3566666666666665,1,4,6,357,7.48,3,12,6,357,6,357
[18.88666797],[15.14749756],[30.69448779],7,343,2.61,1,5,7,343,8.126666666666667,3,12,7,343,7,343
[17.02879584],[8.76667387],[28.146634],8,359,2.7533333333333334,2,4,8,359,8.636666666666667,5,14,8,359,8,359
[16.04774389],[8.76667387],[33.54475161],9,373,3.0033333333333334,2,6,9,373,9.28,5,19,9,373,9,373
[15.00492031],[8.14263394],[24.19541398],10,367,3.183333333333333,2,8,10,367,9.886666666666667,5,21,10,367,10,367
[13.99300293],[5.90942801],[24.75854089],11,354,3.3033333333333332,2,6,11,354,10.516666666666667,5,19,11,354,11,354
[12.44380401],[5.90942801],[38.05062548],12,372,3.6066666666666665,2,7,12,372,11.62,7,20,12,372,12,372
[10.27980013],[6.14876669],[43.42534296],13,356,3.966666666666667,2,7,13,356,13.106666666666667,7,22,13,356,13,356
[8.67889484],[5.18002613],[37.6672848],14,344,4.33,2,8,14,344,14.31,5,22,14,344,14,344
[7.6657912],[5.18002613],[37.35948303],15,354,4.736666666666666,2,9,15,354,15.526666666666667,7,28,15,354,15,354
[7.36748466],[5.89350817],[38.05062548],16,344,4.82,2,9,16,344,15.94,5,30,16,344,16,344
[6.73496761],[5.58681462],[7.89470888],17,362,4.566666666666666,3,9,17,362,15.86,7,31,17,362,17,362
[6.53824039],[5.38271689],[16.23772317],18,349,4.456666666666667,3,9,18,349,15.64,7,29,18,349,18,349
[6.35184525],[5.15129026],[14.3582669],19,368,4.54,3,10,19,368,16.14,7,29,19,368,19,368
[6.30040495],[5.15129026],[15.14749756],20,371,4.476666666666667,3,10,20,371,16.17,9,30,20,371,20,371
[6.05672631],[4.92690851],[11.35526369],21,354,4.503333333333333,3,10,21,354,16.236666666666668,10,31,21,354,21,354
[5.87701325],[4.19743337],[9.92175563],22,372,4.39,3,10,22,372,15.75,11,31,22,372,22,372
[5.70959756],[4.14772108],[31.51117397],23,365,4.79,2,12,23,365,16.786666666666665,7,33,23,365,23,365
[5.38869939],[4.08691742],[8.76667387],24,363,5.11,3,12,24,363,17.946666666666665,11,34,24,363,24,363
[5.27600178],[4.08691742],[26.95222552],25,362,5.52,3,16,25,362,19.543333333333333,11,39,25,362,25,362
[5.08389151],[4.08691742],[19.18279844],26,359,5.866666666666666,3,16,26,359,20.923333333333332,11,39,26,359,26,359
[5.06142107],[4.08691742],[33.54475161],27,343,6.066666666666666,3,16,27,343,21.606666666666666,7,39,27,343,27,343
[4.89277458],[4.08691742],[7.96578304],28,362,6.253333333333333,3,16,28,362,22.433333333333334,13,56,28,362,28,362
[4.74345889],[4.04529469],[6.31263021],29,358,6.43,3,16,29,358,22.596666666666668,13,56,29,358,29,358
[4.63985173],[4.04529469],[15.14749756],30,355,6.2,3,16,30,355,21.386666666666667,8,53,30,355,30,355
